unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"8F1B26BE-9664-53DB-E053-6C04A8C03649","305000","2019-06-27","WA13 9ST","D","N","F","","L'ALOUETTE","BRIDGE ROAD","WARBURTON","LYMM","TRAFFORD","GREATER MANCHESTER","B","http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BE-9664-53DB-E053-6C04A8C03649/current"
"8CAC1318-38DE-0253-E053-6B04A8C08E51","237500","2019-05-24","WA13 9SZ","T","N","F","","15","PADDOCK LANE","WARBURTON","LYMM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-38DE-0253-E053-6B04A8C08E51/current"
"9B361206-72EF-1904-E053-6B04A8C0EEB5","285000","2019-11-22","WA14 1DU","T","N","L","","21","GRAFTON STREET","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/9B361206-72EF-1904-E053-6B04A8C0EEB5/current"
"8F1B26BD-A437-53DB-E053-6C04A8C03649","230000","2019-06-27","WA14 1JL","T","N","F","","48","HAZEL ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-A437-53DB-E053-6C04A8C03649/current"
"87E1551E-574B-6405-E053-6C04A8C0B2EE","300000","2019-03-29","WA14 1JP","T","N","F","","10","RENSHAW STREET","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-574B-6405-E053-6C04A8C0B2EE/current"
"8F1B26BD-A4D8-53DB-E053-6C04A8C03649","237000","2019-07-15","WA14 1JX","T","N","F","","2","AIREDALE COURT","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-A4D8-53DB-E053-6C04A8C03649/current"
"965B6D91-5765-95E4-E053-6C04A8C07729","225000","2019-10-18","WA14 1LA","T","N","F","","34","GROSVENOR ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/965B6D91-5765-95E4-E053-6C04A8C07729/current"
"87E1551E-24BC-6405-E053-6C04A8C0B2EE","310000","2019-03-15","WA14 1LE","T","N","F","","37","GROSVENOR ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-24BC-6405-E053-6C04A8C0B2EE/current"
"9B361206-35D0-1904-E053-6B04A8C0EEB5","228500","2019-11-29","WA14 1LP","T","N","F","","23","BRUNSWICK ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/9B361206-35D0-1904-E053-6B04A8C0EEB5/current"
"965B6D91-5890-95E4-E053-6C04A8C07729","259975","2019-10-02","WA14 1LP","T","N","F","","51","BRUNSWICK ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/965B6D91-5890-95E4-E053-6C04A8C07729/current"
"98C75471-CAC1-72E9-E053-6B04A8C042F0","257500","2019-11-07","WA14 1LP","S","N","F","","91","BRUNSWICK ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/98C75471-CAC1-72E9-E053-6B04A8C042F0/current"
"87E1551E-251F-6405-E053-6C04A8C0B2EE","225000","2019-03-29","WA14 1LR","T","N","F","","4","BRUNSWICK ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-251F-6405-E053-6C04A8C0B2EE/current"
"8355F009-3038-55C5-E053-6B04A8C0D090","240000","2019-01-25","WA14 1LR","T","N","F","","22","BRUNSWICK ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8355F009-3038-55C5-E053-6B04A8C0D090/current"
"87E1551E-2352-6405-E053-6C04A8C0B2EE","250000","2019-03-08","WA14 1LR","T","N","F","","28","BRUNSWICK ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-2352-6405-E053-6C04A8C0B2EE/current"
"8CAC1318-6DE8-0253-E053-6B04A8C08E51","285000","2019-05-03","WA14 1LR","S","N","F","","72","BRUNSWICK ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-6DE8-0253-E053-6B04A8C08E51/current"
"965B6D91-5569-95E4-E053-6C04A8C07729","267500","2019-09-25","WA14 1LR","S","N","F","","94","BRUNSWICK ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/965B6D91-5569-95E4-E053-6C04A8C07729/current"
